"Country Name","Country Code","Indicator Name","Indicator Code","1995","2000","2005","2010","2014",
"East Asia & Pacific","EAS","Natural capital, subsoil assets (constant 2014 US$)","NW.NCA.SSOI.TO","1138345471691.89","1140727866041.5","3223857731166.45","9780117294774","10444126465883.4",
"East Asia & Pacific","EAS","Natural capital, subsoil assets, minerals: bauxite (constant 2014 US$)","NW.NCA.MBAU.TO","63478833780.177","45504121320.8188","48823731409.4205","54540551599.9928","46921222328.3217",
"East Asia & Pacific","EAS","Natural capital, subsoil assets, minerals: copper (constant 2014 US$)","NW.NCA.MCOP.TO","75143452719.2253","86958600960.1729","180798777488.972","494302317872.69","429832031869.742",
"East Asia & Pacific","EAS","Natural capital, subsoil assets, minerals: gold (constant 2014 US$)","NW.NCA.MGOL.TO","30430827989.7856","23118245335.5412","60628494584.147","218846736704.047","331425933583.819",
"East Asia & Pacific","EAS","Natural capital, subsoil assets, minerals: iron ore (constant 2014 US$)","NW.NCA.MIRO.TO","102548758753.095","161054329716.01","480688182364.592","2636199661542.06","3372156208915.78",
"East Asia & Pacific","EAS","Natural capital, subsoil assets, minerals: lead (constant 2014 US$)","NW.NCA.MLEA.TO","311679731.352095","1517360785.12689","5078691210.09501","44283697216.5608","44239142762.1049",
"East Asia & Pacific","EAS","Natural capital, subsoil assets, minerals: nickel (constant 2014 US$)","NW.NCA.MNIC.TO","10317746299.7202","16846915467.9343","72055447964.4768","214568903463.677","189039385915.269",
"East Asia & Pacific","EAS","Natural capital, subsoil assets, minerals: phosphate (constant 2014 US$)","NW.NCA.MPHO.TO","0","0","0","154294890245.518","177677413647.117",
"East Asia & Pacific","EAS","Natural capital, subsoil assets, minerals: silver (constant 2014 US$)","NW.NCA.MSIL.TO","0","0","0","0","8365124305.72867",
"East Asia & Pacific","EAS","Natural capital, subsoil assets, minerals: tin (constant 2014 US$)","NW.NCA.MTIN.TO","0","0","0","838010672.328703","5506842157.54709",
"East Asia & Pacific","EAS","Natural capital, subsoil assets, minerals: zinc (constant 2014 US$)","NW.NCA.MZIN.TO","2511349104.96115","3752536783.86342","2806589475.62449","99794362347.1422","38452080345.9257",
"East Asia & Pacific","EAS","Natural capital, subsoil assets: coal (constant 2014 US$)","NW.NCA.SACO.TO","158666622815.973","81872995501.0238","1166933182561.92","4010887366258.06","3882575702724.4",
"East Asia & Pacific","EAS","Natural capital, subsoil assets: gas (constant 2014 US$)","NW.NCA.SAGA.TO","57148677031.72","48692785905.3262","133950029115.185","267052234712.967","331229974660.605",
"East Asia & Pacific","EAS","Natural capital, subsoil assets: minerals (constant 2014 US$)","NW.NCA.MINR.TO","284742648378.316","338752110369.468","850879914497.329","3917669131664.02","4643615385831.36",
"East Asia & Pacific","EAS","Natural capital, subsoil assets: oil (constant 2014 US$)","NW.NCA.SAOI.TO","637787523465.881","671409974265.681","1072094604992","1584508562138.94","1586705402667.04",
"East Asia & Pacific","EAS","Net foreign assets (constant 2014 US$)","NW.NFA.TO","-506138288488.839","194317711973.011","1428161649123.56","3381944481538.89","3827740655330.9",
"East Asia & Pacific","EAS","Net foreign assets per capita (constant 2014 US$)","NW.NFA.PC","-275.271219611204","100.235108813572","707.400263802477","1618.61963474912","1783.93761335909",
"East Asia & Pacific","EAS","Produced capital (constant 2014 US$)","NW.PCA.TO","27671821525716.8","36198802174992.1","48097551226310.9","65902769669078.7","84077115887254.3",
"East Asia & Pacific","EAS","Produced capital per capita (constant 2014 US$)","NW.PCA.PC","15049.7526733064","18672.4660253063","23823.7880471203","31541.47489795","39184.5589760986",
"East Asia & Pacific","EAS","Total wealth (constant 2014 US$)","NW.TOW.TO","139927754813939","162102533680184","181241127467350","246512955284438","300483259821892",
"East Asia & Pacific","EAS","Total wealth per capita (constant 2014 US$)","NW.TOW.PC","76101.8966577158","83617.5196661731","89772.7658916919","117982.631536831","140041.721121957",
"East Asia & Pacific (low and middle income)","EAP","Human capital (constant 2014 US$)","NW.HCA.TO","34200498212081.7","42134843711655.6","45613867753244.5","78430992128828.9","103527272166867",
"East Asia & Pacific (low and middle income)","EAP","Human capital per capita (constant 2014 US$)","NW.HCA.PC","20770.8667369317","24193.3578362508","25085.7759202244","41612.1138668928","53387.0454028508",
"East Asia & Pacific (low and middle income)","EAP","Natural capital (constant 2014 US$)","NW.NCA.TO","9421242784619.86","11024255407935.8","14848158522616.9","22951836376513.8","26705769878281.4",
"East Asia & Pacific (low and middle income)","EAP","Natural capital per capita (constant 2014 US$)","NW.NCA.PC","5721.7698163967","6330.00463435055","8165.884540669","12177.2580306647","13771.6576431363",
"East Asia & Pacific (low and middle income)","EAP","Natural capital per capita, agricultural land (constant 2014 US$)","NW.NCA.AGRI.PC","3950.21000309768","4674.4665496078","5544.1065883635","6795.38963016501","8140.03284382241",
"East Asia & Pacific (low and middle income)","EAP","Natural capital per capita, agricultural land: cropland (constant 2014 US$)","NW.NCA.CROL.PC","3292.25854831805","3888.48106730673","4451.76341560946","5443.30038835158","6432.89926573581",
"East Asia & Pacific (low and middle income)","EAP","Natural capital per capita, agricultural land: pastureland (constant 2014 US$)","NW.NCA.PASL.PC","657.951454779631","785.985482301068","1092.34317275403","1352.08924181343","1707.13357808659",
"East Asia & Pacific (low and middle income)","EAP","Natural capital per capita, forests (constant 2014 US$)","NW.NCA.FORE.PC","837.390450390527","704.097016181837","612.093032730558","724.376838071385","701.696027036063",
"East Asia & Pacific (low and middle income)","EAP","Natural capital per capita, forests: nontimber (constant 2014 US$)","NW.NCA.FNTI.PC","331.535242253465","320.759301184048","321.52269620162","319.063427975894","315.910971070773",
"East Asia & Pacific (low and middle income)","EAP","Natural capital per capita, forests: timber (constant 2014 US$)","NW.NCA.FTIM.PC","505.855208137061","383.337714997788","290.570336528938","405.313410095491","385.78505596529",
"East Asia & Pacific (low and middle income)","EAP","Natural capital per capita, protected areas (constant 2014 US$)","NW.NCA.PRAR.PC","392.57452623336","474.185233931424","627.174413103178","731.045872999043","940.77092322681",
"East Asia & Pacific (low and middle income)","EAP","Natural capital per capita, subsoil assets (constant 2014 US$)","NW.NCA.SSOI.PC","541.594836675131","477.255834629491","1382.51050647176","3926.44568942931","3989.15784905106",
"East Asia & Pacific (low and middle income)","EAP","Natural capital per capita, subsoil assets, minerals: bauxite (constant 2014 US$)","NW.NCA.MBAU.PC","4.61689233024073","3.14812813630018","3.04799545550328","7.32344629457243","7.3459804362414",
